fecha,ciudad,latitud,longitud,temperatura_max,temperatura_min,temperatura_media,sensacion_max,sensacion_min,hora_amanecer,hora_atardecer,radiacion_acumulada,viento_max,precipitacion_total,año,mes,dia,fuente,HDD,CDD
2021-01-01,Madrid,40.386642,-3.6760864,6.4,1.6,3.6,0.9,-2.4,09:37,18:59,8.78,22.9,3.6,2021,1,1,Open-Meteo (ERA5),14.4,0.0
2021-01-02,Madrid,40.386642,-3.6760864,5.2,-1.4,1.7,0.4,-5.3,09:37,18:59,8.24,20.1,0.0,2021,1,2,Open-Meteo (ERA5),16.3,0.0
2021-01-03,Madrid,40.386642,-3.6760864,7.3,-2.5,1.4,2.8,-6.4,09:37,19:00,8.41,15.0,0.0,2021,1,3,Open-Meteo (ERA5),16.6,0.0
2021-01-04,Madrid,40.386642,-3.6760864,5.9,-0.8,1.6,1.3,-4.9,09:37,19:01,8.72,17.0,0.1,2021,1,4,Open-Meteo (ERA5),16.4,0.0
2021-01-05,Madrid,40.386642,-3.6760864,4.7,-4.0,-0.3,1.5,-7.6,09:37,19:02,9.68,8.8,0.0,2021,1,5,Open-Meteo (ERA5),18.3,0.0
2021-01-06,Madrid,40.386642,-3.6760864,5.8,-4.1,-0.5,2.1,-8.0,09:37,19:03,9.47,10.3,0.0,2021,1,6,Open-Meteo (ERA5),18.5,0.0
2021-01-07,Madrid,40.386642,-3.6760864,2.5,-2.3,-0.4,-1.7,-7.1,09:37,19:04,3.26,14.0,1.8,2021,1,7,Open-Meteo (ERA5),18.4,0.0
2021-01-08,Madrid,40.386642,-3.6760864,1.4,-2.0,-0.3,-3.3,-7.0,09:37,19:05,1.82,23.2,13.6,2021,1,8,Open-Meteo (ERA5),18.3,0.0
2021-01-09,Madrid,40.386642,-3.6760864,0.6,-1.4,-0.4,-2.2,-7.8,09:37,19:06,2.69,27.0,33.4,2021,1,9,Open-Meteo (ERA5),18.4,0.0
2021-01-10,Madrid,40.386642,-3.6760864,3.7,-1.5,1.0,-0.0,-5.6,09:37,19:07,9.28,16.4,0.1,2021,1,10,Open-Meteo (ERA5),17.0,0.0
2021-01-11,Madrid,40.386642,-3.6760864,5.8,-3.1,0.4,0.8,-7.4,09:36,19:08,9.41,16.0,0.0,2021,1,11,Open-Meteo (ERA5),17.6,0.0
2021-01-12,Madrid,40.386642,-3.6760864,4.0,-6.4,-2.7,0.4,-9.9,09:36,19:09,10.35,7.7,0.0,2021,1,12,Open-Meteo (ERA5),20.7,0.0
2021-01-13,Madrid,40.386642,-3.6760864,5.1,-6.7,-2.3,1.6,-10.9,09:36,19:10,10.62,7.9,0.0,2021,1,13,Open-Meteo (ERA5),20.3,0.0
2021-01-14,Madrid,40.386642,-3.6760864,5.6,-11.1,-3.2,2.2,-16.1,09:35,19:11,10.88,13.1,0.0,2021,1,14,Open-Meteo (ERA5),21.2,0.0
2021-01-15,Madrid,40.386642,-3.6760864,6.9,-5.7,0.0,3.9,-9.5,09:35,19:12,10.48,12.8,0.0,2021,1,15,Open-Meteo (ERA5),18.0,0.0
2021-01-16,Madrid,40.386642,-3.6760864,7.8,-4.8,-0.2,4.8,-9.0,09:35,19:13,11.08,10.8,0.0,2021,1,16,Open-Meteo (ERA5),18.2,0.0
2021-01-17,Madrid,40.386642,-3.6760864,6.5,-9.6,-1.7,2.9,-14.6,09:34,19:14,11.42,11.4,0.0,2021,1,17,Open-Meteo (ERA5),19.7,0.0
2021-01-18,Madrid,40.386642,-3.6760864,7.4,-6.3,-0.4,4.8,-11.4,09:34,19:16,11.1,14.4,0.0,2021,1,18,Open-Meteo (ERA5),18.4,0.0
2021-01-19,Madrid,40.386642,-3.6760864,4.7,-6.3,-1.5,2.1,-10.9,09:33,19:17,11.03,12.1,0.0,2021,1,19,Open-Meteo (ERA5),19.5,0.0
2021-01-20,Madrid,40.386642,-3.6760864,5.5,-4.0,1.9,2.3,-8.2,09:32,19:18,2.99,16.9,2.5,2021,1,20,Open-Meteo (ERA5),16.1,0.0
2021-01-21,Madrid,40.386642,-3.6760864,10.6,5.6,7.8,6.6,2.0,09:32,19:19,3.72,24.9,0.5,2021,1,21,Open-Meteo (ERA5),10.2,0.0
2021-01-22,Madrid,40.386642,-3.6760864,9.9,3.3,7.6,5.7,-0.1,09:31,19:20,5.84,39.4,2.3,2021,1,22,Open-Meteo (ERA5),10.4,0.0
2021-01-23,Madrid,40.386642,-3.6760864,9.6,2.8,5.8,5.5,-1.2,09:31,19:22,2.01,31.1,2.0,2021,1,23,Open-Meteo (ERA5),12.2,0.0
2021-01-24,Madrid,40.386642,-3.6760864,11.6,6.8,9.1,7.4,2.7,09:30,19:23,8.07,24.8,0.6,2021,1,24,Open-Meteo (ERA5),8.9,0.0
2021-01-25,Madrid,40.386642,-3.6760864,12.8,6.8,10.0,9.2,3.6,09:29,19:24,2.78,29.6,1.5,2021,1,25,Open-Meteo (ERA5),8.0,0.0
2021-01-26,Madrid,40.386642,-3.6760864,15.6,8.1,11.3,14.4,6.7,09:28,19:25,6.01,15.0,0.4,2021,1,26,Open-Meteo (ERA5),6.699999999999999,0.0
2021-01-27,Madrid,40.386642,-3.6760864,18.3,10.9,13.3,17.4,9.5,09:28,19:26,9.6,14.3,0.0,2021,1,27,Open-Meteo (ERA5),4.699999999999999,0.0
2021-01-28,Madrid,40.386642,-3.6760864,14.3,8.9,11.1,13.2,7.5,09:27,19:28,5.57,10.6,0.2,2021,1,28,Open-Meteo (ERA5),6.9,0.0
2021-01-29,Madrid,40.386642,-3.6760864,14.4,7.1,10.1,12.3,5.4,09:26,19:29,6.64,15.6,0.0,2021,1,29,Open-Meteo (ERA5),7.9,0.0
2021-01-30,Madrid,40.386642,-3.6760864,11.6,8.3,10.1,8.0,3.7,09:25,19:30,9.38,26.3,4.3,2021,1,30,Open-Meteo (ERA5),7.9,0.0
2021-01-31,Madrid,40.386642,-3.6760864,13.2,5.2,9.0,8.7,0.6,09:24,19:31,5.27,30.0,0.4,2021,1,31,Open-Meteo (ERA5),9.0,0.0
2021-02-01,Madrid,40.386642,-3.6760864,14.8,7.5,10.4,10.9,3.8,09:23,19:32,10.25,24.6,0.0,2021,2,1,Open-Meteo (ERA5),7.6,0.0
2021-02-02,Madrid,40.386642,-3.6760864,12.6,7.4,9.9,9.9,4.2,09:22,19:34,4.44,18.3,0.2,2021,2,2,Open-Meteo (ERA5),8.1,0.0
2021-02-03,Madrid,40.386642,-3.6760864,11.6,7.8,9.6,10.1,5.1,09:21,19:35,3.46,14.4,0.6,2021,2,3,Open-Meteo (ERA5),8.4,0.0
2021-02-04,Madrid,40.386642,-3.6760864,13.8,8.1,10.4,11.9,6.2,09:20,19:36,7.98,13.5,0.2,2021,2,4,Open-Meteo (ERA5),7.6,0.0
2021-02-05,Madrid,40.386642,-3.6760864,16.5,7.1,10.7,14.3,4.1,09:19,19:37,11.82,13.8,9.6,2021,2,5,Open-Meteo (ERA5),7.300000000000001,0.0
2021-02-06,Madrid,40.386642,-3.6760864,11.6,5.5,8.2,10.3,3.2,09:18,19:38,6.72,17.4,11.5,2021,2,6,Open-Meteo (ERA5),9.8,0.0
2021-02-07,Madrid,40.386642,-3.6760864,11.6,4.2,7.3,6.9,1.2,09:17,19:40,10.41,23.2,1.0,2021,2,7,Open-Meteo (ERA5),10.7,0.0
2021-02-08,Madrid,40.386642,-3.6760864,10.1,5.6,7.7,5.2,0.9,09:16,19:41,9.72,27.8,10.5,2021,2,8,Open-Meteo (ERA5),10.3,0.0
2021-02-09,Madrid,40.386642,-3.6760864,9.4,5.9,7.4,4.7,1.4,09:15,19:42,2.87,38.2,14.2,2021,2,9,Open-Meteo (ERA5),10.6,0.0
