año,ciudad,provincia_raw,poblacion,fuente
2021,Barcelona,Barcelona,5714730.0,INE – Padrón Municipal Continuo
2021,Barcelona,Barcelona,2791250.0,INE – Padrón Municipal Continuo
2021,Barcelona,Barcelona,2923480.0,INE – Padrón Municipal Continuo
2021,Bilbao,Bizkaia,1154334.0,INE – Padrón Municipal Continuo
2021,Bilbao,Bizkaia,557416.0,INE – Padrón Municipal Continuo
2021,Bilbao,Bizkaia,596918.0,INE – Padrón Municipal Continuo
2021,Madrid,Madrid,6751251.0,INE – Padrón Municipal Continuo
2021,Madrid,Madrid,3229700.0,INE – Padrón Municipal Continuo
2021,Madrid,Madrid,3521551.0,INE – Padrón Municipal Continuo
2021,Málaga,Málaga,1695651.0,INE – Padrón Municipal Continuo
2021,Málaga,Málaga,829976.0,INE – Padrón Municipal Continuo
2021,Málaga,Málaga,865675.0,INE – Padrón Municipal Continuo
2021,Sevilla,Sevilla,1947852.0,INE – Padrón Municipal Continuo
2021,Sevilla,Sevilla,951083.0,INE – Padrón Municipal Continuo
2021,Sevilla,Sevilla,996769.0,INE – Padrón Municipal Continuo
2021,Valencia,Valencia/València,2589312.0,INE – Padrón Municipal Continuo
2021,Valencia,Valencia/València,1267961.0,INE – Padrón Municipal Continuo
2021,Valencia,Valencia/València,1321351.0,INE – Padrón Municipal Continuo
2021,Zaragoza,Zaragoza,967452.0,INE – Padrón Municipal Continuo
2021,Zaragoza,Zaragoza,473354.0,INE – Padrón Municipal Continuo
2021,Zaragoza,Zaragoza,494098.0,INE – Padrón Municipal Continuo
