año,municipio,indicador,variacion,fuente
2021,Barcelona,Total. Total habitantes. Personas.,1636732.0,INE – Padrón Municipal Continuo
2021,Barcelona,Total. Total habitantes. Variación absoluta.,-27450.0,INE – Padrón Municipal Continuo
2021,Barcelona,Total. Total habitantes. Variación anual.,-1.65,INE – Padrón Municipal Continuo
2021,Bilbao,Total. Total habitantes. Personas.,346405.0,INE – Padrón Municipal Continuo
2021,Bilbao,Total. Total habitantes. Variación absoluta.,-3779.0,INE – Padrón Municipal Continuo
2021,Bilbao,Total. Total habitantes. Variación anual.,-1.08,INE – Padrón Municipal Continuo
2021,Madrid,Total. Total habitantes. Personas.,3305408.0,INE – Padrón Municipal Continuo
2021,Madrid,Total. Total habitantes. Variación absoluta.,-29322.0,INE – Padrón Municipal Continuo
2021,Madrid,Total. Total habitantes. Variación anual.,-0.88,INE – Padrón Municipal Continuo
2021,Málaga,Total. Total habitantes. Personas.,577405.0,INE – Padrón Municipal Continuo
2021,Málaga,Total. Total habitantes. Variación absoluta.,-1055.0,INE – Padrón Municipal Continuo
2021,Málaga,Total. Total habitantes. Variación anual.,-0.18,INE – Padrón Municipal Continuo
2021,Sevilla,Total. Total habitantes. Personas.,684234.0,INE – Padrón Municipal Continuo
2021,Sevilla,Total. Total habitantes. Variación absoluta.,-7161.0,INE – Padrón Municipal Continuo
2021,Sevilla,Total. Total habitantes. Variación anual.,-1.04,INE – Padrón Municipal Continuo
2021,Zaragoza,Total. Total habitantes. Personas.,675301.0,INE – Padrón Municipal Continuo
2021,Zaragoza,Total. Total habitantes. Variación absoluta.,-6576.0,INE – Padrón Municipal Continuo
2021,Zaragoza,Total. Total habitantes. Variación anual.,-0.96,INE – Padrón Municipal Continuo
