value,percentage,datetime,datetime_spain
549334.251,1,2015-12-31 23:00:00+00:00,2016-01-01 00:00:00+01:00
614370.924,1,2016-01-01 23:00:00+00:00,2016-01-02 00:00:00+01:00
619728.026,1,2016-01-02 23:00:00+00:00,2016-01-03 00:00:00+01:00
704966.605,1,2016-01-03 23:00:00+00:00,2016-01-04 00:00:00+01:00
701386.909,1,2016-01-04 23:00:00+00:00,2016-01-05 00:00:00+01:00
619994.074,1,2016-01-05 23:00:00+00:00,2016-01-06 00:00:00+01:00
749294.848,1,2016-01-06 23:00:00+00:00,2016-01-07 00:00:00+01:00
750160.278,1,2016-01-07 23:00:00+00:00,2016-01-08 00:00:00+01:00
685100.337,1,2016-01-08 23:00:00+00:00,2016-01-09 00:00:00+01:00
648714.619,1,2016-01-09 23:00:00+00:00,2016-01-10 00:00:00+01:00
761504.75,1,2016-01-10 23:00:00+00:00,2016-01-11 00:00:00+01:00
778891.307,1,2016-01-11 23:00:00+00:00,2016-01-12 00:00:00+01:00
795087.713,1,2016-01-12 23:00:00+00:00,2016-01-13 00:00:00+01:00
802427.396,1,2016-01-13 23:00:00+00:00,2016-01-14 00:00:00+01:00
796846.21,1,2016-01-14 23:00:00+00:00,2016-01-15 00:00:00+01:00
726141.03,1,2016-01-15 23:00:00+00:00,2016-01-16 00:00:00+01:00
690103.083,1,2016-01-16 23:00:00+00:00,2016-01-17 00:00:00+01:00
809652.278,1,2016-01-17 23:00:00+00:00,2016-01-18 00:00:00+01:00
817453.121,1,2016-01-18 23:00:00+00:00,2016-01-19 00:00:00+01:00
812592.743,1,2016-01-19 23:00:00+00:00,2016-01-20 00:00:00+01:00
810913.591,1,2016-01-20 23:00:00+00:00,2016-01-21 00:00:00+01:00
797248.912,1,2016-01-21 23:00:00+00:00,2016-01-22 00:00:00+01:00
704774.445,1,2016-01-22 23:00:00+00:00,2016-01-23 00:00:00+01:00
649539.394,1,2016-01-23 23:00:00+00:00,2016-01-24 00:00:00+01:00
764530.819,1,2016-01-24 23:00:00+00:00,2016-01-25 00:00:00+01:00
783129.126,1,2016-01-25 23:00:00+00:00,2016-01-26 00:00:00+01:00
782454.402,1,2016-01-26 23:00:00+00:00,2016-01-27 00:00:00+01:00
781220.285,1,2016-01-27 23:00:00+00:00,2016-01-28 00:00:00+01:00
776149.051,1,2016-01-28 23:00:00+00:00,2016-01-29 00:00:00+01:00
701070.736,1,2016-01-29 23:00:00+00:00,2016-01-30 00:00:00+01:00
648243.321,1,2016-01-30 23:00:00+00:00,2016-01-31 00:00:00+01:00
755604.833,1,2016-01-31 23:00:00+00:00,2016-02-01 00:00:00+01:00
771162.157,1,2016-02-01 23:00:00+00:00,2016-02-02 00:00:00+01:00
774920.755,1,2016-02-02 23:00:00+00:00,2016-02-03 00:00:00+01:00
779636.335,1,2016-02-03 23:00:00+00:00,2016-02-04 00:00:00+01:00
778440.4,1,2016-02-04 23:00:00+00:00,2016-02-05 00:00:00+01:00
708475.865,1,2016-02-05 23:00:00+00:00,2016-02-06 00:00:00+01:00
654892.273,1,2016-02-06 23:00:00+00:00,2016-02-07 00:00:00+01:00
764576.899,1,2016-02-07 23:00:00+00:00,2016-02-08 00:00:00+01:00
776296.4,1,2016-02-08 23:00:00+00:00,2016-02-09 00:00:00+01:00
779057.216,1,2016-02-09 23:00:00+00:00,2016-02-10 00:00:00+01:00
770145.265,1,2016-02-10 23:00:00+00:00,2016-02-11 00:00:00+01:00
772155.474,1,2016-02-11 23:00:00+00:00,2016-02-12 00:00:00+01:00
694719.829,1,2016-02-12 23:00:00+00:00,2016-02-13 00:00:00+01:00
648984.261,1,2016-02-13 23:00:00+00:00,2016-02-14 00:00:00+01:00
783874.49,1,2016-02-14 23:00:00+00:00,2016-02-15 00:00:00+01:00
804822.875,1,2016-02-15 23:00:00+00:00,2016-02-16 00:00:00+01:00
819617.781,1,2016-02-16 23:00:00+00:00,2016-02-17 00:00:00+01:00
823891.322,1,2016-02-17 23:00:00+00:00,2016-02-18 00:00:00+01:00
809709.545,1,2016-02-18 23:00:00+00:00,2016-02-19 00:00:00+01:00
719890.582,1,2016-02-19 23:00:00+00:00,2016-02-20 00:00:00+01:00
661995.391,1,2016-02-20 23:00:00+00:00,2016-02-21 00:00:00+01:00
769236.13,1,2016-02-21 23:00:00+00:00,2016-02-22 00:00:00+01:00
775844.287,1,2016-02-22 23:00:00+00:00,2016-02-23 00:00:00+01:00
782909.849,1,2016-02-23 23:00:00+00:00,2016-02-24 00:00:00+01:00
773022.654,1,2016-02-24 23:00:00+00:00,2016-02-25 00:00:00+01:00
787433.867,1,2016-02-25 23:00:00+00:00,2016-02-26 00:00:00+01:00
730652.05,1,2016-02-26 23:00:00+00:00,2016-02-27 00:00:00+01:00
671872.845,1,2016-02-27 23:00:00+00:00,2016-02-28 00:00:00+01:00
766564.788,1,2016-02-28 23:00:00+00:00,2016-02-29 00:00:00+01:00
782435.271,1,2016-02-29 23:00:00+00:00,2016-03-01 00:00:00+01:00
780440.745,1,2016-03-01 23:00:00+00:00,2016-03-02 00:00:00+01:00
776053.071,1,2016-03-02 23:00:00+00:00,2016-03-03 00:00:00+01:00
776287.283,1,2016-03-03 23:00:00+00:00,2016-03-04 00:00:00+01:00
701814.836,1,2016-03-04 23:00:00+00:00,2016-03-05 00:00:00+01:00
657322.151,1,2016-03-05 23:00:00+00:00,2016-03-06 00:00:00+01:00
797057.198,1,2016-03-06 23:00:00+00:00,2016-03-07 00:00:00+01:00
800620.964,1,2016-03-07 23:00:00+00:00,2016-03-08 00:00:00+01:00
813456.131,1,2016-03-08 23:00:00+00:00,2016-03-09 00:00:00+01:00
806943.774,1,2016-03-09 23:00:00+00:00,2016-03-10 00:00:00+01:00
790478.931,1,2016-03-10 23:00:00+00:00,2016-03-11 00:00:00+01:00
707083.567,1,2016-03-11 23:00:00+00:00,2016-03-12 00:00:00+01:00
655003.476,1,2016-03-12 23:00:00+00:00,2016-03-13 00:00:00+01:00
780217.235,1,2016-03-13 23:00:00+00:00,2016-03-14 00:00:00+01:00
792756.102,1,2016-03-14 23:00:00+00:00,2016-03-15 00:00:00+01:00
788127.677,1,2016-03-15 23:00:00+00:00,2016-03-16 00:00:00+01:00
785951.92,1,2016-03-16 23:00:00+00:00,2016-03-17 00:00:00+01:00
776984.922,1,2016-03-17 23:00:00+00:00,2016-03-18 00:00:00+01:00
695002.995,1,2016-03-18 23:00:00+00:00,2016-03-19 00:00:00+01:00
