corte,modelo,tipo_modelo,usar_lag_168h,mape,filas_train,filas_test,train_dias,dias_test,order,seasonal_order,festivos_test_n,festivos_lag168_n,fechas_festivas_test,fechas_festivas_lag168,diferencia_festivos_test_vs_lag168,error
2025-02-05,Baseline lag 24h,baseline_naive,,1.111633994672283,,72,365,3,,,0,0,,,0,
2025-02-05,Baseline lag 168h,baseline_naive,,2.5448923489949515,,72,365,3,,,0,0,,,0,
2025-02-05,SARIMAX base,SARIMAX,False,5.686247332988219,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
2025-02-05,SARIMAX + lag 168h,SARIMAX,True,2.9025720210147807,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
2025-05-06,Baseline lag 24h,baseline_naive,,2.321710363393407,,72,365,3,,,0,1,,2025-05-01,-1,
2025-05-06,Baseline lag 168h,baseline_naive,,11.14749274770736,,72,365,3,,,0,1,,2025-05-01,-1,
2025-05-06,SARIMAX base,SARIMAX,False,3.3917722310235896,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,1,,2025-05-01,-1,
2025-05-06,SARIMAX + lag 168h,SARIMAX,True,7.927570955872351,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,1,,2025-05-01,-1,
2025-07-08,Baseline lag 24h,baseline_naive,,2.130006705969266,,72,365,3,,,0,0,,,0,
2025-07-08,Baseline lag 168h,baseline_naive,,6.361232075555644,,72,365,3,,,0,0,,,0,
2025-07-08,SARIMAX base,SARIMAX,False,11.812260260153057,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
2025-07-08,SARIMAX + lag 168h,SARIMAX,True,2.334767710724191,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
2025-11-04,Baseline lag 24h,baseline_naive,,2.680957404157355,,72,365,3,,,0,0,,,0,
2025-11-04,Baseline lag 168h,baseline_naive,,1.217673434636557,,72,365,3,,,0,0,,,0,
2025-11-04,SARIMAX base,SARIMAX,False,4.990496896968777,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
2025-11-04,SARIMAX + lag 168h,SARIMAX,True,1.6005544196930332,8759,72,365,3,"(1, 1, 1)","(1, 0, 0, 24)",0,0,,,0,
